Element,Symbol,Concentration_mg_kg,Uncertainty_mg_kg,Value_Type,Notes
Aluminum,Al,1800,,Certified,"Source: MBH-REE-HI-22-P Certificate of Analysis (ARM MI / LGC); assigned consensus value; major value converted from wt% to mg/kg (x10,000)"
Barium,Ba,89000,,Certified,"Source: MBH-REE-HI-22-P Certificate of Analysis (ARM MI / LGC); assigned consensus value; major value converted from wt% to mg/kg (x10,000)"
Calcium,Ca,237000,,Certified,"Source: MBH-REE-HI-22-P Certificate of Analysis (ARM MI / LGC); assigned consensus value; major value converted from wt% to mg/kg (x10,000)"
Cerium,Ce,19000,,Certified,"Source: MBH-REE-HI-22-P Certificate of Analysis (ARM MI / LGC); assigned consensus value; major value converted from wt% to mg/kg (x10,000)"
Dysprosium,Dy,25,,Certified,Source: MBH-REE-HI-22-P Certificate of Analysis (ARM MI / LGC); assigned consensus value; trace value as printed (mg/kg)
Europium,Eu,50,,Certified,Source: MBH-REE-HI-22-P Certificate of Analysis (ARM MI / LGC); assigned consensus value; trace value as printed (mg/kg)
Holmium,Ho,3.3,,Certified,Source: MBH-REE-HI-22-P Certificate of Analysis (ARM MI / LGC); assigned consensus value; trace value as printed (mg/kg)
Iron,Fe,9300,,Certified,"Source: MBH-REE-HI-22-P Certificate of Analysis (ARM MI / LGC); assigned consensus value; major value converted from wt% to mg/kg (x10,000)"
Lanthanum,La,13000,,Certified,"Source: MBH-REE-HI-22-P Certificate of Analysis (ARM MI / LGC); assigned consensus value; major value converted from wt% to mg/kg (x10,000)"
Lead,Pb,1990,,Certified,Source: MBH-REE-HI-22-P Certificate of Analysis (ARM MI / LGC); assigned consensus value; trace value as printed (mg/kg)
Lutetium,Lu,0.6,,Certified,Source: MBH-REE-HI-22-P Certificate of Analysis (ARM MI / LGC); assigned consensus value; trace value as printed (mg/kg)
Magnesium,Mg,18000,,Certified,"Source: MBH-REE-HI-22-P Certificate of Analysis (ARM MI / LGC); assigned consensus value; major value converted from wt% to mg/kg (x10,000)"
Manganese,Mn,1800,,Certified,"Source: MBH-REE-HI-22-P Certificate of Analysis (ARM MI / LGC); assigned consensus value; major value converted from wt% to mg/kg (x10,000)"
Neodymium,Nd,4500,,Certified,"Source: MBH-REE-HI-22-P Certificate of Analysis (ARM MI / LGC); assigned consensus value; major value converted from wt% to mg/kg (x10,000)"
Niobium,Nb,23,,Certified,Source: MBH-REE-HI-22-P Certificate of Analysis (ARM MI / LGC); assigned consensus value; trace value as printed (mg/kg)
Phosphorus,P,1300,,Certified,"Source: MBH-REE-HI-22-P Certificate of Analysis (ARM MI / LGC); assigned consensus value; major value converted from wt% to mg/kg (x10,000)"
Potassium,K,930,,Certified,"Source: MBH-REE-HI-22-P Certificate of Analysis (ARM MI / LGC); assigned consensus value; major value converted from wt% to mg/kg (x10,000)"
Praseodymium,Pr,1600,,Certified,"Source: MBH-REE-HI-22-P Certificate of Analysis (ARM MI / LGC); assigned consensus value; major value converted from wt% to mg/kg (x10,000)"
Rubidium,Rb,3.8,,Certified,Source: MBH-REE-HI-22-P Certificate of Analysis (ARM MI / LGC); assigned consensus value; trace value as printed (mg/kg)
Samarium,Sm,303,,Certified,Source: MBH-REE-HI-22-P Certificate of Analysis (ARM MI / LGC); assigned consensus value; trace value as printed (mg/kg)
Scandium,Sc,5.7,,Certified,Source: MBH-REE-HI-22-P Certificate of Analysis (ARM MI / LGC); assigned consensus value; trace value as printed (mg/kg)
Silicon,Si,33000,,Certified,"Source: MBH-REE-HI-22-P Certificate of Analysis (ARM MI / LGC); assigned consensus value; major value converted from wt% to mg/kg (x10,000)"
Strontium,Sr,16000,,Certified,"Source: MBH-REE-HI-22-P Certificate of Analysis (ARM MI / LGC); assigned consensus value; major value converted from wt% to mg/kg (x10,000)"
Sulfur,S,27000,,Certified,"Source: MBH-REE-HI-22-P Certificate of Analysis (ARM MI / LGC); assigned consensus value; major value converted from wt% to mg/kg (x10,000)"
Thorium,Th,127,,Certified,Source: MBH-REE-HI-22-P Certificate of Analysis (ARM MI / LGC); assigned consensus value; trace value as printed (mg/kg)
Titanium,Ti,120,,Certified,"Source: MBH-REE-HI-22-P Certificate of Analysis (ARM MI / LGC); assigned consensus value; major value converted from wt% to mg/kg (x10,000)"
Uranium,U,17,,Certified,Source: MBH-REE-HI-22-P Certificate of Analysis (ARM MI / LGC); assigned consensus value; trace value as printed (mg/kg)
Ytterbium,Yb,4.1,,Certified,Source: MBH-REE-HI-22-P Certificate of Analysis (ARM MI / LGC); assigned consensus value; trace value as printed (mg/kg)
Yttrium,Y,89,,Certified,Source: MBH-REE-HI-22-P Certificate of Analysis (ARM MI / LGC); assigned consensus value; trace value as printed (mg/kg)
