Element,Symbol,Concentration_mg_kg,Uncertainty_mg_kg,Value_Type,Notes
Aluminum,Al,1500,,Certified,"Source: MBH-REE-MID-22-P Certificate of Analysis (ARM MI / LGC); assigned consensus value; major value converted from wt% to mg/kg (x10,000)"
Barium,Ba,17000,,Certified,"Source: MBH-REE-MID-22-P Certificate of Analysis (ARM MI / LGC); assigned consensus value; major value converted from wt% to mg/kg (x10,000)"
Calcium,Ca,344000,,Certified,"Source: MBH-REE-MID-22-P Certificate of Analysis (ARM MI / LGC); assigned consensus value; major value converted from wt% to mg/kg (x10,000)"
Cerium,Ce,3700,,Certified,"Source: MBH-REE-MID-22-P Certificate of Analysis (ARM MI / LGC); assigned consensus value; major value converted from wt% to mg/kg (x10,000)"
Dysprosium,Dy,5.6,,Certified,Source: MBH-REE-MID-22-P Certificate of Analysis (ARM MI / LGC); assigned consensus value; trace value as printed (mg/kg)
Europium,Eu,10,,Certified,Source: MBH-REE-MID-22-P Certificate of Analysis (ARM MI / LGC); assigned consensus value; trace value as printed (mg/kg)
Holmium,Ho,0.76,,Certified,Source: MBH-REE-MID-22-P Certificate of Analysis (ARM MI / LGC); assigned consensus value; trace value as printed (mg/kg)
Iron,Fe,300,,Certified,"Source: MBH-REE-MID-22-P Certificate of Analysis (ARM MI / LGC); assigned consensus value; major value converted from wt% to mg/kg (x10,000)"
Lanthanum,La,2600,,Certified,"Source: MBH-REE-MID-22-P Certificate of Analysis (ARM MI / LGC); assigned consensus value; major value converted from wt% to mg/kg (x10,000)"
Lead,Pb,383,,Certified,Source: MBH-REE-MID-22-P Certificate of Analysis (ARM MI / LGC); assigned consensus value; trace value as printed (mg/kg)
Lutetium,Lu,0.15,,Certified,Source: MBH-REE-MID-22-P Certificate of Analysis (ARM MI / LGC); assigned consensus value; trace value as printed (mg/kg)
Magnesium,Mg,17000,,Certified,"Source: MBH-REE-MID-22-P Certificate of Analysis (ARM MI / LGC); assigned consensus value; major value converted from wt% to mg/kg (x10,000)"
Manganese,Mn,470,,Certified,"Source: MBH-REE-MID-22-P Certificate of Analysis (ARM MI / LGC); assigned consensus value; major value converted from wt% to mg/kg (x10,000)"
Neodymium,Nd,890,,Certified,"Source: MBH-REE-MID-22-P Certificate of Analysis (ARM MI / LGC); assigned consensus value; major value converted from wt% to mg/kg (x10,000)"
Niobium,Nb,5.3,,Certified,Source: MBH-REE-MID-22-P Certificate of Analysis (ARM MI / LGC); assigned consensus value; trace value as printed (mg/kg)
Phosphorus,P,530,,Certified,"Source: MBH-REE-MID-22-P Certificate of Analysis (ARM MI / LGC); assigned consensus value; major value converted from wt% to mg/kg (x10,000)"
Potassium,K,380,,Certified,"Source: MBH-REE-MID-22-P Certificate of Analysis (ARM MI / LGC); assigned consensus value; major value converted from wt% to mg/kg (x10,000)"
Praseodymium,Pr,310,,Certified,"Source: MBH-REE-MID-22-P Certificate of Analysis (ARM MI / LGC); assigned consensus value; major value converted from wt% to mg/kg (x10,000)"
Rubidium,Rb,1.7,,Certified,Source: MBH-REE-MID-22-P Certificate of Analysis (ARM MI / LGC); assigned consensus value; trace value as printed (mg/kg)
Samarium,Sm,61,,Certified,Source: MBH-REE-MID-22-P Certificate of Analysis (ARM MI / LGC); assigned consensus value; trace value as printed (mg/kg)
Scandium,Sc,1.5,,Certified,Source: MBH-REE-MID-22-P Certificate of Analysis (ARM MI / LGC); assigned consensus value; trace value as printed (mg/kg)
Silicon,Si,12000,,Certified,"Source: MBH-REE-MID-22-P Certificate of Analysis (ARM MI / LGC); assigned consensus value; major value converted from wt% to mg/kg (x10,000)"
Strontium,Sr,3800,,Certified,"Source: MBH-REE-MID-22-P Certificate of Analysis (ARM MI / LGC); assigned consensus value; major value converted from wt% to mg/kg (x10,000)"
Sulfur,S,5100,,Certified,"Source: MBH-REE-MID-22-P Certificate of Analysis (ARM MI / LGC); assigned consensus value; major value converted from wt% to mg/kg (x10,000)"
Thorium,Th,25,,Certified,Source: MBH-REE-MID-22-P Certificate of Analysis (ARM MI / LGC); assigned consensus value; trace value as printed (mg/kg)
Titanium,Ti,120,,Certified,"Source: MBH-REE-MID-22-P Certificate of Analysis (ARM MI / LGC); assigned consensus value; major value converted from wt% to mg/kg (x10,000)"
Uranium,U,3.9,,Certified,Source: MBH-REE-MID-22-P Certificate of Analysis (ARM MI / LGC); assigned consensus value; trace value as printed (mg/kg)
Ytterbium,Yb,0.98,,Certified,Source: MBH-REE-MID-22-P Certificate of Analysis (ARM MI / LGC); assigned consensus value; trace value as printed (mg/kg)
Yttrium,Y,21,,Certified,Source: MBH-REE-MID-22-P Certificate of Analysis (ARM MI / LGC); assigned consensus value; trace value as printed (mg/kg)
