bElement,Symbol,Concentration_mg_kg,Uncertainty_mg_kg,Value_Type,Notes
Aluminum,Al,69200,1950,Certified,"Source: https://www.oreas.com/downloads/?fileId=6940; 4-Acid Digestion; converted from wt.% to mg/kg (x10,000); uncertainty is the half-width of the published 95% expanded-uncertainty interval"
Antimony,Sb,4.08,0.26,Certified,Source: https://www.oreas.com/downloads/?fileId=6940; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Arsenic,As,284,11,Certified,Source: https://www.oreas.com/downloads/?fileId=6940; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Barium,Ba,788,21.5,Certified,Source: https://www.oreas.com/downloads/?fileId=6940; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Beryllium,Be,2.34,0.165,Certified,Source: https://www.oreas.com/downloads/?fileId=6940; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Bismuth,Bi,12.8,1.05,Certified,Source: https://www.oreas.com/downloads/?fileId=6940; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Boron,B,848,,Non-Certified,Source: https://www.oreas.com/downloads/?fileId=6940; Borate / Peroxide Fusion ICP; official indicative (uncertified) value; no uncertainty assigned
Cadmium,Cd,10,,Certified Upper Limit,Source: https://www.oreas.com/downloads/?fileId=6940; Borate / Peroxide Fusion ICP; certificate reports <10 ppm; numeric concentration stores the upper limit; uncertainty is indeterminate; used because no 4-acid certified value is reported
Calcium,Ca,5390,180,Certified,"Source: https://www.oreas.com/downloads/?fileId=6940; 4-Acid Digestion; converted from wt.% to mg/kg (x10,000); uncertainty is the half-width of the published 95% expanded-uncertainty interval"
Cerium,Ce,1630,55,Certified,"Source: https://www.oreas.com/downloads/?fileId=6940; 4-Acid Digestion; converted from wt.% to mg/kg (x10,000); uncertainty is the half-width of the published 95% expanded-uncertainty interval"
Cesium,Cs,6.41,0.235,Certified,Source: https://www.oreas.com/downloads/?fileId=6940; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Chromium,Cr,259,11,Certified,Source: https://www.oreas.com/downloads/?fileId=6940; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Cobalt,Co,5.54,0.245,Certified,Source: https://www.oreas.com/downloads/?fileId=6940; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Copper,Cu,41,2.15,Certified,Source: https://www.oreas.com/downloads/?fileId=6940; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Dysprosium,Dy,16.8,1,Certified,Source: https://www.oreas.com/downloads/?fileId=6940; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Erbium,Er,4.36,0.345,Certified,Source: https://www.oreas.com/downloads/?fileId=6940; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Europium,Eu,20.7,1.05,Certified,Source: https://www.oreas.com/downloads/?fileId=6940; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Gadolinium,Gd,46.4,3.55,Certified,Source: https://www.oreas.com/downloads/?fileId=6940; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Gallium,Ga,28.6,2.65,Certified,Source: https://www.oreas.com/downloads/?fileId=6940; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Germanium,Ge,1.55,0.275,Certified,Source: https://www.oreas.com/downloads/?fileId=6940; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Hafnium,Hf,10,0.3,Certified,Source: https://www.oreas.com/downloads/?fileId=6940; Borate / Peroxide Fusion ICP; uncertainty is the half-width of the published 95% expanded-uncertainty interval; used because no 4-acid certified value is reported
Holmium,Ho,2.14,0.14,Certified,Source: https://www.oreas.com/downloads/?fileId=6940; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Indium,In,0.31,0.02,Certified,Source: https://www.oreas.com/downloads/?fileId=6940; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
