bElement,Symbol,Concentration_mg_kg,Uncertainty_mg_kg,Value_Type,Notes
Aluminum,Al,79100,2200,Certified,"Source: https://www.oreas.com/downloads/?fileId=6946; 4-Acid Digestion; converted from wt.% to mg/kg (x10,000); uncertainty is the half-width of the published 95% expanded-uncertainty interval"
Antimony,Sb,5.45,0.205,Certified,Source: https://www.oreas.com/downloads/?fileId=6946; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Arsenic,As,481,18.5,Certified,Source: https://www.oreas.com/downloads/?fileId=6946; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Barium,Ba,702,23,Certified,Source: https://www.oreas.com/downloads/?fileId=6946; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Beryllium,Be,2.92,0.115,Certified,Source: https://www.oreas.com/downloads/?fileId=6946; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Bismuth,Bi,22.1,1.6,Certified,Source: https://www.oreas.com/downloads/?fileId=6946; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Boron,B,1380,175,Certified,"Source: https://www.oreas.com/downloads/?fileId=6946; Borate / Peroxide Fusion ICP; converted from wt.% to mg/kg (x10,000); uncertainty is the half-width of the published 95% expanded-uncertainty interval; used because no 4-acid certified value is reported"
Cadmium,Cd,10,,Certified Upper Limit,Source: https://www.oreas.com/downloads/?fileId=6946; Borate / Peroxide Fusion ICP; certificate reports <10 ppm; numeric concentration stores the upper limit; uncertainty is indeterminate; used because no 4-acid certified value is reported
Calcium,Ca,2260,105,Certified,"Source: https://www.oreas.com/downloads/?fileId=6946; 4-Acid Digestion; converted from wt.% to mg/kg (x10,000); uncertainty is the half-width of the published 95% expanded-uncertainty interval"
Cerium,Ce,339,14.5,Certified,Source: https://www.oreas.com/downloads/?fileId=6946; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Cesium,Cs,10.8,0.45,Certified,Source: https://www.oreas.com/downloads/?fileId=6946; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Chromium,Cr,132,9,Certified,Source: https://www.oreas.com/downloads/?fileId=6946; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Cobalt,Co,2.92,0.18,Certified,Source: https://www.oreas.com/downloads/?fileId=6946; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Copper,Cu,34.2,1.25,Certified,Source: https://www.oreas.com/downloads/?fileId=6946; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Dysprosium,Dy,7.64,0.68,Certified,Source: https://www.oreas.com/downloads/?fileId=6946; Borate / Peroxide Fusion ICP; uncertainty is the half-width of the published 95% expanded-uncertainty interval; used because no 4-acid certified value is reported
Erbium,Er,3.65,0.365,Certified,Source: https://www.oreas.com/downloads/?fileId=6946; Borate / Peroxide Fusion ICP; uncertainty is the half-width of the published 95% expanded-uncertainty interval; used because no 4-acid certified value is reported
Europium,Eu,4.26,0.295,Certified,Source: https://www.oreas.com/downloads/?fileId=6946; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Gadolinium,Gd,11.4,0.9,Certified,Source: https://www.oreas.com/downloads/?fileId=6946; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Gallium,Ga,22.4,1.05,Certified,Source: https://www.oreas.com/downloads/?fileId=6946; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Germanium,Ge,0.42,0.1,Certified,Source: https://www.oreas.com/downloads/?fileId=6946; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Hafnium,Hf,7.5,0.77,Certified,Source: https://www.oreas.com/downloads/?fileId=6946; Borate / Peroxide Fusion ICP; uncertainty is the half-width of the published 95% expanded-uncertainty interval; used because no 4-acid certified value is reported
Holmium,Ho,1.37,0.115,Certified,Source: https://www.oreas.com/downloads/?fileId=6946; Borate / Peroxide Fusion ICP; uncertainty is the half-width of the published 95% expanded-uncertainty interval; used because no 4-acid certified value is reported
Indium,In,0.12,0.015,Certified,Source: https://www.oreas.com/downloads/?fileId=6946; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Iron,Fe,49700,1600,Certified,"Source: https://www.oreas.com/downloads/?fileId=6946; 4-Acid Digestion; converted from wt.% to mg/kg (x10,000); uncertainty is the half-width of the published 95% expanded-uncertainty interval"
Lanthanum,La,229,14,Certified,Source: https://www.oreas.com/downloads/?fileId=6946; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Lead,Pb,22.9,1.5,Certified,Source: https://www.oreas.com/downloads/?fileId=6946; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Lithium,Li,43.6,1.3,Certified,Source: https://www.oreas.com/downloads/?fileId=6946; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Lutetium,Lu,0.47,0.06,Certified,Source: https://www.oreas.com/downloads/?fileId=6946; Borate / Peroxide Fusion ICP; uncertainty is the half-width of the published 95% expanded-uncertainty interval; used because no 4-acid certified value is reported
Magnesium,Mg,4120,230,Certified,"Source: https://www.oreas.com/downloads/?fileId=6946; 4-Acid Digestion; converted from wt.% to mg/kg (x10,000); uncertainty is the half-width of the published 95% expanded-uncertainty interval"
Manganese,Mn,90,5,Certified,"Source: https://www.oreas.com/downloads/?fileId=6946; 4-Acid Digestion; converted from wt.% to mg/kg (x10,000); uncertainty is the half-width of the published 95% expanded-uncertainty interval"
Mercury,Hg,0.47,,Non-Certified,Source: https://www.oreas.com/downloads/?fileId=6946; 4-Acid Digestion; official indicative (uncertified) value; no uncertainty assigned
Molybdenum,Mo,6.41,0.34,Certified,Source: https://www.oreas.com/downloads/?fileId=6946; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Neodymium,Nd,152,6.5,Certified,Source: https://www.oreas.com/downloads/?fileId=6946; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Nickel,Ni,18.7,1.05,Certified,Source: https://www.oreas.com/downloads/?fileId=6946; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Niobium,Nb,109,5.5,Certified,Source: https://www.oreas.com/downloads/?fileId=6946; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Phosphorus,P,550,20,Certified,"Source: https://www.oreas.com/downloads/?fileId=6946; 4-Acid Digestion; converted from wt.% to mg/kg (x10,000); uncertainty is the half-width of the published 95% expanded-uncertainty interval"
Potassium,K,23900,600,Certified,"Source: https://www.oreas.com/downloads/?fileId=6946; 4-Acid Digestion; converted from wt.% to mg/kg (x10,000); uncertainty is the half-width of the published 95% expanded-uncertainty interval"
Praseodymium,Pr,44.1,2.15,Certified,Source: https://www.oreas.com/downloads/?fileId=6946; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Rhenium,Re,0.002,,Non-Certified,Source: https://www.oreas.com/downloads/?fileId=6946; 4-Acid Digestion; official indicative (uncertified) value; no uncertainty assigned
Rubidium,Rb,140,6.5,Certified,Source: https://www.oreas.com/downloads/?fileId=6946; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Samarium,Sm,20.8,1.35,Certified,Source: https://www.oreas.com/downloads/?fileId=6946; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Scandium,Sc,18.8,1,Certified,Source: https://www.oreas.com/downloads/?fileId=6946; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Selenium,Se,0.9,,Non-Certified,Source: https://www.oreas.com/downloads/?fileId=6946; 4-Acid Digestion; official indicative (uncertified) value; no uncertainty assigned
Silicon,Si,307000,19750,Certified,"Source: https://www.oreas.com/downloads/?fileId=6946; Borate / Peroxide Fusion ICP; converted from wt.% to mg/kg (x10,000); uncertainty is the half-width of the published 95% expanded-uncertainty interval; used because no 4-acid certified value is reported"
Silver,Ag,0.322,0.064,Certified,Source: https://www.oreas.com/downloads/?fileId=6946; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Sodium,Na,1640,110,Certified,"Source: https://www.oreas.com/downloads/?fileId=6946; 4-Acid Digestion; converted from wt.% to mg/kg (x10,000); uncertainty is the half-width of the published 95% expanded-uncertainty interval"
Strontium,Sr,107,4,Certified,Source: https://www.oreas.com/downloads/?fileId=6946; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Sulfur,S,120,25,Certified,"Source: https://www.oreas.com/downloads/?fileId=6946; 4-Acid Digestion; converted from wt.% to mg/kg (x10,000); uncertainty is the half-width of the published 95% expanded-uncertainty interval"
Tantalum,Ta,2.57,0.195,Certified,Source: https://www.oreas.com/downloads/?fileId=6946; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Tellurium,Te,0.3,0.08,Certified,Source: https://www.oreas.com/downloads/?fileId=6946; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Terbium,Tb,1.26,0.105,Certified,Source: https://www.oreas.com/downloads/?fileId=6946; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Thallium,Tl,0.79,0.055,Certified,Source: https://www.oreas.com/downloads/?fileId=6946; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Thorium,Th,32.4,1.8,Certified,Source: https://www.oreas.com/downloads/?fileId=6946; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Thulium,Tm,0.51,0.065,Certified,Source: https://www.oreas.com/downloads/?fileId=6946; Borate / Peroxide Fusion ICP; uncertainty is the half-width of the published 95% expanded-uncertainty interval; used because no 4-acid certified value is reported
Tin,Sn,17.5,0.95,Certified,Source: https://www.oreas.com/downloads/?fileId=6946; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Titanium,Ti,4480,355,Certified,"Source: https://www.oreas.com/downloads/?fileId=6946; 4-Acid Digestion; converted from wt.% to mg/kg (x10,000); uncertainty is the half-width of the published 95% expanded-uncertainty interval"
Tungsten,W,90,7,Certified,Source: https://www.oreas.com/downloads/?fileId=6946; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Uranium,U,3.04,0.155,Certified,Source: https://www.oreas.com/downloads/?fileId=6946; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Vanadium,V,128,4.5,Certified,Source: https://www.oreas.com/downloads/?fileId=6946; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Ytterbium,Yb,3.29,0.335,Certified,Source: https://www.oreas.com/downloads/?fileId=6946; Borate / Peroxide Fusion ICP; uncertainty is the half-width of the published 95% expanded-uncertainty interval; used because no 4-acid certified value is reported
Yttrium,Y,34.6,1.85,Certified,Source: https://www.oreas.com/downloads/?fileId=6946; Borate / Peroxide Fusion ICP; uncertainty is the half-width of the published 95% expanded-uncertainty interval; used because no 4-acid certified value is reported
Zinc,Zn,41.8,1.95,Certified,Source: https://www.oreas.com/downloads/?fileId=6946; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Zirconium,Zr,163,8,Certified,Source: https://www.oreas.com/downloads/?fileId=6946; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
