Element,Atomic_Number,Line,Energy_keV,Relative_Intensity
Na,11,Kα1,1.0410,100
Na,11,Kα2,1.0410,50
Na,11,Kβ1,1.0710,10
Mg,12,Kα1,1.2536,100
Mg,12,Kα2,1.2526,50
Mg,12,Kβ1,1.3022,15
Al,13,Kα1,1.4867,100
Al,13,Kα2,1.4861,50
Al,13,Kβ1,1.5574,20
Si,14,Kα1,1.7398,100
Si,14,Kα2,1.7393,50
Si,14,Kβ1,1.8359,25
P,15,Kα1,2.0137,100
P,15,Kα2,2.0127,50
P,15,Kβ1,2.1391,30
S,16,Kα1,2.3078,100
S,16,Kα2,2.3064,50
S,16,Kβ1,2.4640,32
Cl,17,Kα1,2.6224,100
Cl,17,Kα2,2.6207,50
Cl,17,Kβ1,2.8156,34
Ar,18,Kα1,2.9577,100
Ar,18,Kα2,2.9557,50
Ar,18,Kβ1,3.1905,35
K,19,Kα1,3.3138,100
K,19,Kα2,3.3111,50
K,19,Kβ1,3.5896,36
Ca,20,Kα1,3.6916,100
Ca,20,Kα2,3.6884,50
Ca,20,Kβ1,4.0127,37
Sc,21,Kα1,4.0906,100
Sc,21,Kα2,4.0868,50
Sc,21,Kβ1,4.4605,38
Ti,22,Kα1,4.5108,100
Ti,22,Kα2,4.5048,50
Ti,22,Kβ1,4.9318,40
V,23,Kα1,4.9522,100
V,23,Kα2,4.9447,50
V,23,Kβ1,5.4272,42
Cr,24,Kα1,5.4147,100
Cr,24,Kα2,5.4055,50
Cr,24,Kβ1,5.9467,44
Mn,25,Kα1,5.8988,100
Mn,25,Kα2,5.8875,50
Mn,25,Kβ1,6.4904,46
Fe,26,Kα1,6.4038,100
Fe,26,Kα2,6.3915,50
Fe,26,Kβ1,7.0579,48
Co,27,Kα1,6.9303,100
Co,27,Kα2,6.9153,50
Co,27,Kβ1,7.6494,50
Ni,28,Kα1,7.4781,100
Ni,28,Kα2,7.4609,50
Ni,28,Kβ1,8.2647,52
Cu,29,Kα1,8.0478,100
Cu,29,Kα2,8.0278,50
Cu,29,Kβ1,8.9053,54
Zn,30,Kα1,8.6389,100
Zn,30,Kα2,8.6159,50
Zn,30,Kβ1,9.5720,56
Ga,31,Kα1,9.2517,100
Ga,31,Kα2,9.2248,50
Ga,31,Kβ1,10.2642,58
Ge,32,Kα1,9.8864,100
Ge,32,Kα2,9.8553,50
Ge,32,Kβ1,10.9821,60
As,33,Kα1,10.5437,100
